symbol,tf,window,kind,filt,n,fwd,t
BTCUSDT,4h,18,bull,fixed20,236,0.0006964107166458029,0.7392197087670375
BTCUSDT,4h,18,bull,adx_gt_med,136,0.0022968334768867856,1.696401716654836
BTCUSDT,4h,18,bear,all,610,0.0004480783259737396,0.7554674683990953
BTCUSDT,4h,18,bear,fixed20,230,0.0016321775418103317,1.6398001893302991
BTCUSDT,4h,18,bear,adx_gt_med,134,0.0016389602564699359,1.0322321755389903
BTCUSDT,4h,21,bull,all,567,0.00035219819712530807,0.6785188684169333
BTCUSDT,4h,21,bull,fixed20,189,0.001343702066037686,1.2694057403554593
BTCUSDT,4h,21,bull,adx_gt_med,128,0.001808366055366095,1.3300669632551474
BTCUSDT,4h,21,bear,all,566,0.0008657473390104859,1.450097985630255
BTCUSDT,4h,21,bear,fixed20,175,0.003021936234348687,2.683069476995463
BTCUSDT,4h,21,bear,adx_gt_med,126,0.003934710136131343,2.696227486390933
BTCUSDT,4h,25,bull,all,523,0.00030493233344070257,0.5403055555040019
BTCUSDT,4h,25,bull,fixed20,128,0.0013800721802797048,1.2069053264416933
BTCUSDT,4h,25,bull,adx_gt_med,114,0.0018916416617393782,1.546721530898897
BTCUSDT,4h,25,bear,all,522,-3.032713441358803e-05,-0.04587226250339949
BTCUSDT,4h,25,bear,fixed20,123,2.6123738954758566e-05,0.015448314820997566
BTCUSDT,4h,25,bear,adx_gt_med,117,0.0017597664991153541,1.1240284283077764
BTCUSDT,4h,30,bull,all,471,0.0008190009711073196,1.279241102511324
BTCUSDT,4h,30,bull,fixed20,110,0.0007821799290576763,0.41908925026754196
BTCUSDT,4h,30,bull,adx_gt_med,110,0.0008668356056608146,0.47087959188428685
BTCUSDT,4h,30,bear,all,470,-9.522898044318212e-06,-0.014900338510948082
BTCUSDT,4h,30,bear,fixed20,98,0.0027099385925537884,1.343024129552436
BTCUSDT,4h,30,bear,adx_gt_med,111,0.0016498935041454339,0.9508771830017546
ETHUSDT,1w,2,bull,all,44,0.035706812431874665,2.181930481727048
ETHUSDT,1w,2,bull,fixed20,44,0.035706812431874665,2.181930481727048
ETHUSDT,1w,2,bull,adx_gt_med,1,-0.011906535266185236,
ETHUSDT,1w,2,bear,all,43,0.00424838386495472,0.268504537586325
ETHUSDT,1w,2,bear,fixed20,43,0.00424838386495472,0.268504537586325
ETHUSDT,1w,2,bear,adx_gt_med,3,0.015896320177401464,
ETHUSDT,1w,3,bull,all,38,0.008939718697650936,0.5409925714143359
ETHUSDT,1w,3,bull,fixed20,37,0.008293326651360925,0.4888641483821539
ETHUSDT,1w,3,bull,adx_gt_med,2,-0.009291810604654338,
ETHUSDT,1w,3,bear,all,37,-0.0021754535500391253,-0.10749925244019609
ETHUSDT,1w,3,bear,fixed20,37,-0.0021754535500391253,-0.10749925244019609
ETHUSDT,1w,3,bear,adx_gt_med,3,0.07979020577929807,
ETHUSDT,1w,4,bull,all,30,0.0404662820301117,2.4288509982073268
ETHUSDT,1w,4,bull,fixed20,30,0.0404662820301117,2.4288509982073268
ETHUSDT,1w,4,bull,adx_gt_med,2,0.02182888520644416,
ETHUSDT,1w,4,bear,all,29,0.01758329127598023,1.070292112085917
ETHUSDT,1w,4,bear,fixed20,29,0.01758329127598023,1.070292112085917
ETHUSDT,1w,4,bear,adx_gt_med,3,0.0770657496106429,
ETHUSDT,1w,5,bull,all,29,0.021740445741087477,1.1983910630216614
ETHUSDT,1w,5,bull,fixed20,29,0.021740445741087477,1.1983910630216614
ETHUSDT,1w,5,bull,adx_gt_med,3,-0.024573791264784983,
ETHUSDT,1w,5,bear,all,28,0.007860119989871517,0.5175269621820324
ETHUSDT,1w,5,bear,fixed20,28,0.007860119989871517,0.5175269621820324
ETHUSDT,1w,5,bear,adx_gt_med,3,0.058584246365711655,
ETHUSDT,1w,6,bull,all,23,0.0035902524080890304,0.13994081705016306
ETHUSDT,1w,6,bull,fixed20,23,0.0035902524080890304,0.13994081705016306
ETHUSDT,1w,6,bull,adx_gt_med,1,-0.00667708594312344,
ETHUSDT,1w,6,bear,all,22,-0.02230559808640424,-1.123139305244242
ETHUSDT,1w,6,bear,fixed20,22,-0.02230559808640424,-1.123139305244242
ETHUSDT,1w,6,bear,adx_gt_med,2,-0.02161475109506389,
ETHUSDT,1w,7,bull,all,24,0.00020055385612107826,0.009316162832371085
ETHUSDT,1w,7,bull,fixed20,24,0.00020055385612107826,0.009316162832371085
ETHUSDT,1w,7,bull,adx_gt_med,1,-0.00667708594312344,
ETHUSDT,1w,7,bear,all,23,-0.022021786651447387,-1.1010299933232477
ETHUSDT,1w,7,bear,fixed20,23,-0.022021786651447387,-1.1010299933232477
ETHUSDT,1w,7,bear,adx_gt_med,2,-0.02161475109506389,
ETHUSDT,1w,8,bull,all,23,0.0025273160893489214,0.12001915708197079
ETHUSDT,1w,8,bull,fixed20,21,0.004547444857451521,0.19733429236804098
ETHUSDT,1w,8,bull,adx_gt_med,2,-0.08528407107816993,
ETHUSDT,1w,8,bear,all,22,-0.03533238624953083,-1.8590769253227728
ETHUSDT,1w,8,bear,fixed20,19,-0.03139317226497815,-1.491663791607854
ETHUSDT,1w,8,bear,adx_gt_med,1,-0.040871422757081,
ETHUSDT,1w,9,bull,all,22,0.00142871148600005,0.07270723252458573
ETHUSDT,1w,9,bull,fixed20,19,0.008953956564143896,0.4069089428131096
ETHUSDT,1w,9,bull,adx_gt_med,2,-0.08528407107816993,
ETHUSDT,1w,9,bear,all,21,-0.016962670690523998,-0.8205138318802846
ETHUSDT,1w,9,bear,fixed20,18,-0.00974299222477281,-0.4264830550778573
ETHUSDT,1w,9,bear,adx_gt_med,3,-0.07505828471607696,
